year,manufacturer,make,make/model,thefts,production,rate,type,horsepower,reliability,price
2012,MERCEDES-BENZ,MERCEDES-BENZ,cl-class,17,827,20.56,Car,429,75,30000
2005,TOYOTA,TOYOTA,tundra pickup,265,14194,18.67,Truck,282,86,10000
2008,CHRYSLER,DODGE,MAGNUM,208,15319,13.58,MPV,178,78,7700
2007,CHRYSLER,DODGE,MAGNUM,344,28059,12.26,MPV,250,85,12000
2004,DAIMLERCHRYSLER,DODGE,INTREPID,662,67289,9.84,Car,250,85,5000
2007,CHRYSLER,DODGE,CHARGER,1148,120636,9.52,Car,250,85,12000
2004,TOYOTA,TOYOTA,tundra pickup,135,14913,9.05,Truck,240,90,10000
2009,AUDI,AUDI,S8,2,227,8.81,Car,450,70,25000
2006,DAIMLERCHRYSLER,DODGE,MAGNUM,407,46501,8.75,MPV,340,70,8000
2009,FORD MOTOR CO,FORD,SHELBY GT,5,581,8.61,Car,500,90,40000
2007,GENERAL MOTORS,CHEVROLET,MONTE CARLO,174,21689,8.02,Car,303,88,25000
2009,BMW,BMW,m5,2,264,7.58,Car,500,80,30000
2004,DAIMLERCHRYSLER,DODGE,STRATUS,1047,140248,7.47,Car,0,0,0
2006,DAIMLERCHRYSLER,DODGE,CHARGER,963,130892,7.36,Car,250,80,12000
2006,DAIMLERCHRYSLER,DODGE,STRATUS,569,79998,7.11,Car,150,78,3000
2006,GENERAL MOTORS,PONTIAC,GRAND PRIX,802,116458,6.89,Car,303,75,6000
2007,GENERAL MOTORS,PONTIAC,GRAND PRIX,534,77689,6.87,Car,303,78,6500
2008,GENERAL MOTORS,PONTIAC,GRAND PRIX,436,64268,6.78,Car,303,75,4000
2008,CHRYSLER,DODGE,CHARGER,728,110895,6.56,Car,250,75,12000
2014,NISSAN,INFINITI,Q70,8,1233,6.49,Car,330,82,25000
2009,CHRYSLER,DODGE,CHARGER,432,66856,6.46,Car,250,80,12000
2008,MITSUBISHI,MITSUBISHI,galant,77,11986,6.42,Car,160,76,5000
2008,CHRYSLER,CHRYSLER,300,483,76295,6.33,Car,178,78,6000
2006,LAMBORGHINI,LAMBORGHINI,murcielago,1,159,6.29,Car,580,80,150000
2006,GENERAL MOTORS,CHEVROLET,MONTE CARLO,239,38136,6.27,Car,211,85,22000
2010,CHRYSLER,DODGE,CHARGER,532,88032,6.04,Car,370,80,12000
2005,SUZUKI,SUZUKI,aerio,77,12966,5.94,Car,125,80,5000
2005,KIA,KIA,rio,156,26328,5.93,Car,110,76,5000
2006,ROLLS ROYCE,ROLLS ROYCE,phantom,2,339,5.9,Car,453,82,150000
2007,CHRYSLER,CHRYSLER,300,715,121529,5.88,Car,250,90,8000
2006,DAIMLERCHRYSLER,CHRYSLER,SEBRING,250,43115,5.8,Car,189,73,3500
2004,DAIMLERCHRYSLER,CHRYSLER,SEBRING,525,90897,5.78,Car,0,0,0
2009,HONDA,HONDA,s2000,2,357,5.6,Car,237,85,25000
2012,MITSUBISHI,MITSUBISHI,eclipse,34,6186,5.5,Car,265,83,15000
2006,DAIMLERCHRYSLER,CHRYSLER,SEBRING CONVERTIBLE,150,27685,5.42,Car,215,75,5000
2008,HYUNDAI,HYUNDAI,azera,62,11462,5.41,Car,234,85,5500
2005,JAGUAR,JAGUAR,xkr,4,748,5.35,Car,390,70,15000
2005,GENERAL MOTORS,CHEVROLET,MONTE CARLO,188,35876,5.24,Car,303,75,8000
2005,MITSUBISHI,MITSUBISHI,galant,150,28808,5.21,Car,160,80,5000
2013,MERCEDES-BENZ,MERCEDES-BENZ,cl-class,3,583,5.15,Car,429,75,60000
2009,MITSUBISHI,MITSUBISHI,galant,152,29716,5.12,Car,160,78,10000
2013,CHRYSLER,DODGE,CHARGER,399,78134,5.11,Car,292,75,15000
2007,MITSUBISHI,MITSUBISHI,lancer,12,2355,5.1,Car,152,78,5000
2008,CHRYSLER,CHRYSLER,SEBRING,260,51096,5.09,Car,173,60,3000
2005,DAIMLERCHRYSLER,DODGE,NEON,783,154231,5.08,Car,132,73,2500
2008,CHRYSLER,CHRYSLER,PACIFICA,83,16384,5.07,MPV,250,75,6000
2004,HONDA,ACURA,NSX,1,198,5.05,Car,290,88,80000
2012,MAZDA,MAZDA,6,202,40004,5.05,Car,0,0,0
2007,ROLLS ROYCE,ROLLS ROYCE,phantom,2,398,5.03,Car,453,85,100000
2004,GENERAL MOTORS,OLDSMOBILE,ALERO,346,69534,4.98,Car,170,81,3000
2008,CHRYSLER,CHRYSLER,PT CRUISER CONVERTIBLE,9,1830,4.92,Car,150,75,7000
2008,HYUNDAI,HYUNDAI,sonata,429,87456,4.91,Car,0,0,0
2005,DAIMLERCHRYSLER,DODGE,MAGNUM,387,79254,4.88,MPV,340,78,8000
2005,DAIMLERCHRYSLER,CHRYSLER,SEBRING,242,49892,4.85,Car,0,0,0
2011,CHRYSLER,DODGE,CHARGER,216,0,4.82,Car,370,82,14000
2014,CHRYSLER,DODGE,CHARGER,509,106664,4.77,Car,292,85,25000
2005,DAIMLERCHRYSLER,DODGE,STRATUS,452,94735,4.77,Car,150,70,3000
2012,CHRYSLER,DODGE,CHARGER,316,66432,4.76,Car,292,85,15000
2004,GENERAL MOTORS,CHEVROLET,MALIBU CLASSIC,464,98025,4.73,Car,145,80,5000
2004,DAIMLERCHRYSLER,CHRYSLER,CONCORDE,108,22879,4.72,Car,253,72,5000
2008,GENERAL MOTORS,CADILLAC,STS,82,17517,4.68,Car,303,80,6000
2008,CHRYSLER,DODGE,AVENGER,641,137543,4.66,Car,173,72,5000
2013,TOYOTA,TOYOTA,yaris,97,20951,4.63,Car,106,79,14000
2007,MERCEDES-BENZ,MERCEDES-BENZ,215 (cl-class),43,9296,4.63,Car,382,80,25000
2005,KIA,KIA,optima,145,31362,4.62,Car,161,76,3500
2004,MITSUBISHI,MITSUBISHI,diamante,19,4135,4.59,Car,210,80,4000
2009,CHRYSLER,CHRYSLER,300,143,31287,4.57,Car,178,72,8000
2006,HONDA,ACURA,RSX,69,15111,4.57,Car,155,80,8000
2004,SUBARU,SUBARU,impreza,177,38806,4.56,Car,227,80,9000
2006,DAIMLERCHRYSLER,CHRYSLER,300,991,217754,4.55,Car,250,80,8000
2013,GENERAL MOTORS,CHEVROLET,IMPALA,577,127237,4.53,Car,300,80,12000
2005,MITSUBISHI,MITSUBISHI,lancer,141,31226,4.52,Car,120,80,9000
2014,MERCEDES-BENZ,MERCEDES-BENZ,sls-class,1,223,4.48,Car,583,74,194000
2005,NISSAN,NISSAN,sentra,519,116354,4.46,Car,126,81,6000
2004,MITSUBISHI,MITSUBISHI,montero sport,24,5414,4.43,MPV,165,75,6000
2013,CHRYSLER,DODGE,CHALLENGER,224,50824,4.41,Car,305,78,22000
2013,MASERATI,MASERATI,quattroporte,1,227,4.41,Car,400,70,65000
2010,GENERAL MOTORS,PONTIAC,G6,111,25586,4.34,Car,252,70,12000
2007,CHRYSLER,CHRYSLER,SEBRING,338,78059,4.33,Car,235,70,5000
2009,NISSAN,INFINITI,M35/M45,27,6243,4.32,Car,303,85,17000
2004,GENERAL MOTORS,CHEVROLET,MONTE CARLO,268,62391,4.3,Car,0,0,0
2009,GENERAL MOTORS,CADILLAC,STS,31,7239,4.28,Car,302,78,8500
